Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00190639026610518,-0.0117675767050606,0.0121831043800871,0,0,0,0.0735648375268099,5.12224778504478E-05,-1.00529921128209E-08,2.88787707212053E-07,4.80650643169955E-05,-1.24729593477925E-07,5.25189016539282E-05,0,0,0,0,0,0,package://guge_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/base_link.STL,,PRH03_011-1;PRH03_009-1;PRH03_008-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
spine1,0.0389276332793516,0.00499533708491126,-0.000482302723753972,0,0,0,0.725188871861127,0.00057293011231733,1.00676190675644E-07,-1.05753932755853E-06,0.000580138631380818,3.29512502419463E-07,0.000577053228842572,0,0,0,0,0,0,package://guge_urdf/meshes/spine1.STL,1,1,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/spine1.STL,,PRH03_018-1;PRH03_017-1;PRH03_016-1;PRH03_019-1;MODEL_PH17B_0726-3;MODEL_PH17B_0726-2,Origin_spine1,基准轴_spine1,spine1,revolute,0.00025,-0.011777,0.04725,3.1416,-1.5708,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
spine2,-1.56705211504975E-09,0.037397833263464,0.0227848087513084,0,0,0,0.0915668735319825,5.57263631097904E-05,-1.4948167176365E-12,1.40401119818368E-12,7.41357670859027E-05,3.06789885545762E-07,8.91496241449259E-05,0,0,0,0,0,0,package://guge_urdf/meshes/spine2.STL,1,1,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/spine2.STL,,PRH03_006-1;PRH03_005-1,Origin_spine2,基准轴_spine2,spine2,revolute,0.082,0.005,0,1.5708,1.5708,0,spine1,0,0,1,0,0,0,0,,,,,,,,
spine3,-0.105525092918912,9.89614714619036E-05,-0.000781485814982597,0,0,0,0.952000795664401,0.000775321788502458,-2.03648065018548E-08,6.51952018651341E-07,0.000750870190589932,1.3604796395898E-07,0.0011267481289553,0,0,0,0,0,0,package://guge_urdf/meshes/spine3.STL,0,0.925490196078431,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/spine3.STL,,MODEL_PH17B_0726-1;PRH03_002-1;MODEL_PP11L-1;PRH01_001-1;MODEL_PP08_V3-4;MODEL_PP08_V3-3;PRH03_001-1;PRH03_013-2;PRH03_013-1;PRH04_002-1;PRH04_003-1;_AF4_ASM-1/SI4_AF8_ASM-2/SI4_A-1;_AF4_ASM-1/0002-1;_AF4_ASM-1/SI4_AF8_ASM-1/SI4_A-1;_AF4_ASM-2/SI4_AF8_ASM-1/SI4_A-1;_AF4_ASM-2/0002-1;_AF4_ASM-2/SI4_AF8_ASM-2/SI4_A-1;_AF4_ASM-2/SI4_AF8_ASM-2/SI4_B-1;_AF4_ASM-1/SI4_AF8_ASM-2/SI4_B-1;_AF4_ASM-2/SI4_AF8_ASM-1/SI4_B-1;_AF4_ASM-1/SI4_AF8_ASM-1/SI4_B-1;MODEL_PP11L-2;PRH01_001-2,Origin_spine3,基准轴_spine3,spine3,revolute,0,0.0645,0,0,0,-1.5708,spine2,1,0,0,0,0,0,0,,,,,,,,
left_arm1,-0.0362475607657735,5.69056149424263E-10,-0.000276670710870803,0,0,0,0.161439178700446,6.77226963517571E-05,-2.43681565201346E-13,-2.77566680821334E-07,8.4282842984588E-05,-9.91046566710213E-10,6.90616005014233E-05,0,0,0,0,0,0,package://guge_urdf/meshes/left_arm1.STL,1,1,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/left_arm1.STL,,PRH01_002-1;MODEL_PP11D_V3-1,Origin_left_arm1,基准轴_left_arm1,left_arm1,revolute,-0.13199,0.10772,0,0,0,-1.3963,spine3,-1,0,0,0,0,0,0,,,,,,,,
left_arm2,1.62124578136115E-05,-0.0657239022806876,-1.94246126211661E-07,0,0,0,0.158227100759892,0.00011101791282566,9.51083034986573E-09,-4.48264615859192E-07,6.59201417952007E-05,-2.21910128137963E-10,0.000124015936889463,0,0,0,0,0,0,package://guge_urdf/meshes/left_arm2.STL,1,1,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/left_arm2.STL,,PRH01_003-1;MODEL_PP11_V3-1,Origin_left_arm2,基准轴_left_arm2,left_arm2,revolute,-0.0455,0,0,0,-1.5708,0,left_arm1,-1,0,0,0,0,0,0,,,,,,,,
left_arm3,-0.130583566946272,0.000138485195165489,-1.30075265957624E-07,0,0,0,0.183435528555647,7.34005893594831E-05,-2.78265673363987E-07,1.20682067839756E-09,0.000103245245639303,1.0126928489571E-08,0.00011845594161857,0,0,0,0,0,0,package://guge_urdf/meshes/left_arm3.STL,1,1,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/left_arm3.STL,,PRH01_004-1;PRH01_002-2;MODEL_PP11D_V3-2,Origin_left_arm3,基准轴_left_arm3,left_arm3,revolute,1.5E-05,-0.103,0,-1.5708,0,1.5708,left_arm2,1,0,0,0,0,0,0,,,,,,,,
left_arm4,0.000495647305943342,-0.0563067339315681,1.40988440928969E-07,0,0,0,0.0862002261321482,4.43487500505482E-05,1.18962177525358E-08,-7.73868876942444E-10,2.73177082557491E-05,-4.46513009035675E-11,5.38102290465927E-05,0,0,0,0,0,0,package://guge_urdf/meshes/left_arm4.STL,1,1,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/left_arm4.STL,,PRH01_005-1;MODEL_PP08_V3-1,Origin_left_arm4,基准轴_left_arm4,left_arm4,revolute,-0.1505,0,0,3.1416,0,1.5708,left_arm3,-1,0,0,0,0,0,0,,,,,,,,
left_arm5,0.0613545689657162,-7.53654428649331E-07,9.49357964047381E-07,0,0,0,0.0159909789683146,2.01607720240835E-06,-7.22779476448106E-10,9.17251228240111E-10,3.00020832431416E-05,4.16027131068942E-09,3.00001299678427E-05,0,0,0,0,0,0,package://guge_urdf/meshes/left_arm5.STL,1,1,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/left_arm5.STL,,PRH01_006-1,Origin_left_arm5,基准轴_left_arm5,left_arm5,revolute,0.00049256,-0.09,0,-1.5708,0,-1.5708,left_arm4,-1,0,0,0,0,0,0,,,,,,,,
right_arm1,-0.0362475607657736,-0.000276670710870803,-5.69057301280651E-10,0,0,0,0.161439178700446,6.7722696351757E-05,-2.77566680821345E-07,2.43681067145962E-13,6.90616005014232E-05,9.91046566699499E-10,8.42828429845879E-05,0,0,0,0,0,0,package://guge_urdf/meshes/right_arm1.STL,1,1,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/right_arm1.STL,,PRH01_002-3;MODEL_PP11D_V3-3,Origin_right_arm1,基准轴_right_arm1,right_arm1,revolute,-0.13199,-0.10772,0,-1.5708,0,1.3963,spine3,1,0,0,0,0,0,0,,,,,,,,
right_arm2,1.94246126128395E-07,-0.0657239022806877,1.62124578136462E-05,0,0,0,0.158227100759892,0.000124015936889462,2.21910128315818E-10,4.48264615859155E-07,6.59201417952006E-05,9.51083034978799E-09,0.00011101791282566,0,0,0,0,0,0,package://guge_urdf/meshes/right_arm2.STL,1,1,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/right_arm2.STL,,PRH01_003-2;MODEL_PP11_V3-2,Origin_right_arm2,基准轴_right_arm2,right_arm2,revolute,-0.0455,0,0,1.5708,0,3.1416,right_arm1,0,0,-1,0,0,0,0,,,,,,,,
right_arm3,-0.130583566946272,0.0001384851951656,-1.30075266027013E-07,0,0,0,0.183435528555647,7.34005893594831E-05,-2.7826567336397E-07,1.20682067843099E-09,0.000103245245639303,1.01269284896162E-08,0.00011845594161857,0,0,0,0,0,0,package://guge_urdf/meshes/right_arm3.STL,1,1,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/right_arm3.STL,,PRH01_004-2;PRH01_002-4;MODEL_PP11D_V3-4,Origin_right_arm3,基准轴_right_arm3,right_arm3,revolute,0,-0.103,1.5E-05,-3.1416,0,1.5708,right_arm2,1,0,0,0,0,0,0,,,,,,,,
right_arm4,0.000495647305943259,-0.0563067339315681,1.40988440883866E-07,0,0,0,0.0862002261321484,4.43487500505483E-05,1.18962177525968E-08,-7.73868876995168E-10,2.73177082557492E-05,-4.465130087759E-11,5.38102290465928E-05,0,0,0,0,0,0,package://guge_urdf/meshes/right_arm4.STL,0,0.925490196078431,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/right_arm4.STL,,MODEL_PP08_V3-5;PRH01_005-2,Origin_right_arm4,基准轴_right_arm4,right_arm4,revolute,-0.1505,0,0,3.1416,0,1.5708,right_arm3,-1,0,0,0,0,0,0,,,,,,,,
right_arm5,0.0613545689657166,9.4935796399187E-07,7.53654428895661E-07,0,0,0,0.0159909789683142,2.01607720240832E-06,9.17251228225181E-10,7.22779476440289E-10,3.00001299678425E-05,-4.1602713106709E-09,3.00020832431414E-05,0,0,0,0,0,0,package://guge_urdf/meshes/right_arm5.STL,1,1,1,1,0,0,0,0,0,0,package://guge_urdf/meshes/right_arm5.STL,,PRH01_006-2,Origin_right_arm5,基准轴_right_arm5,right_arm5,revolute,0.00049256,-0.09,0,0,0,-1.5708,right_arm4,-1,0,0,0,0,0,0,,,,,,,,
